X,GO_Number,CHEBI,Chebicategory,parents,hasRole,decision,importantCategory
67,GO:1901375,transports_or_maintains_localization_of CHEBI:47622 !acetate ester,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:35701;CHEBI:33308;CHEBI:47622,NA,7.D Other organic,
68,GO:1901474,transports_or_maintains_localization_of CHEBI:68452 !azole,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33285;CHEBI:5686;CHEBI:24532;CHEBI:33833;CHEBI:38179;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:38101;CHEBI:68452,NA,7.D Other organic,
69,GO:1901505,transports_or_maintains_localization_of CHEBI:63299 !carbohydrate derivative,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299,NA,7.D Other organic,
70,GO:1901513,transports_or_maintains_localization_of CHEBI:67062 !lipo-chitin oligosaccharide,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:67062,NA,7.D Other organic,
71,GO:1901515,"transports_or_maintains_localization_of CHEBI:67063 !poly-beta-1,6-N-acetyl-D-glucosamine",7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:67063,NA,7.D Other organic,
72,GO:1901682,transports_or_maintains_localization_of CHEBI:26835 !sulfur molecular entity,OTHER,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:26835,NA,OTHER,
73,GO:0015483,transports_or_maintains_localization_of CHEBI:15904 !long-chain fatty acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:18059;CHEBI:35366;CHEBI:15904,NA,4.A monocarboxylic acid,
74,GO:1901480,transports_or_maintains_localization_of CHEBI:30823 !oleate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:28868;CHEBI:2580;CHEBI:82680;CHEBI:78049;CHEBI:132944;CHEBI:30823,CHEBI:76971;CHEBI:76924;CHEBI:75772,2.A organic anion,
75,GO:1903962,transports_or_maintains_localization_of CHEBI:32395 !arachidonate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:62937;CHEBI:18059;CHEBI:35757;CHEBI:28868;CHEBI:57560;CHEBI:2580;CHEBI:76567;CHEBI:62920;CHEBI:32395,CHEBI:77746,2.A organic anion,
76,GO:0004012,NA,NA,,NA,NA,
77,GO:0008525,transports_or_maintains_localization_of CHEBI:64482 !phosphatidylcholine,2.B organic cation;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:51151;CHEBI:27369;CHEBI:35281;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:26469;CHEBI:35284;CHEBI:24870;CHEBI:36916;CHEBI:36358;CHEBI:33702;CHEBI:35274;CHEBI:25699;CHEBI:25697;CHEBI:35267;CHEBI:23217;CHEBI:37577;CHEBI:33241;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:23213;CHEBI:36700;CHEBI:18059;CHEBI:16247;CHEBI:35741;CHEBI:37739;CHEBI:36313;CHEBI:64482,NA,2.B organic cation;7.B organophosphorus,
78,GO:0008526,transports_or_maintains_localization_of CHEBI:28874 !phosphatidylinositol,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:18059;CHEBI:16247;CHEBI:35741;CHEBI:37739;CHEBI:36315;CHEBI:28874,NA,7.B organophosphorus,
79,GO:0015247,transports_or_maintains_localization_of CHEBI:60971 !aminophospholipid,5.G Other oganic amino compounds;7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:18059;CHEBI:16247;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:60971,NA,5.G Other oganic amino compounds;7.B organophosphorus,
80,GO:0017128,NA,NA,,NA,NA,
81,GO:0051978,CHEBI:16961   ! lysophospholipid,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:78616;CHEBI:63299;CHEBI:26816;CHEBI:63423;CHEBI:22297;CHEBI:26707;CHEBI:18059;CHEBI:16247;CHEBI:35741;CHEBI:37739;CHEBI:16961,CHEBI:75771,7.B organophosphorus,
82,GO:0120014,transports_or_maintains_localization_of CHEBI:16247 !phospholipid,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:18059;CHEBI:16247,NA,7.B organophosphorus,
83,GO:1902388,transports_or_maintains_localization_of CHEBI:16197 !N-acylsphingosine 1-phosphate,7.B organophosphorus ;7.C amide,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:26739;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:17761;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:25710;CHEBI:25703;CHEBI:35701;CHEBI:37734;CHEBI:16247;CHEBI:35786;CHEBI:13956;CHEBI:16197,CHEBI:75771,7.B organophosphorus;7.C amide,
84,GO:1904121,transports_or_maintains_localization_of CHEBI:16038 !phosphatidylethanolamine,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:36711;CHEBI:18059;CHEBI:16247;CHEBI:35741;CHEBI:37739;CHEBI:36314;CHEBI:16038,NA,7.B organophosphorus,
85,GO:1990050,transports_or_maintains_localization_of CHEBI:16337 !phosphatidic acid,7.B organophosphorus ,CHEBI:24431;CHEBI:23367;CHEBI:36357;CHEBI:37577;CHEBI:33241;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:26082;CHEBI:36360;CHEBI:36359;CHEBI:26079;CHEBI:26020;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:25710;CHEBI:25703;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:35701;CHEBI:37734;CHEBI:18059;CHEBI:16247;CHEBI:35741;CHEBI:37739;CHEBI:16337,CHEBI:76971,7.B organophosphorus,
86,GO:0008508,transports_or_maintains_localization_of CHEBI:29101 !sodium(1+);transports_or_maintains_localization_of CHEBI:3098 !bile acid,"1.C inorganic cation ,4.A monocarboxylic acid","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:64709;CHEBI:47891;CHEBI:36078;CHEBI:36278;CHEBI:136889;CHEBI:36248;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:24663;CHEBI:35350;CHEBI:36587;CHEBI:33285;CHEBI:36962;CHEBI:36963;CHEBI:36586;CHEBI:24833;CHEBI:35605;CHEBI:33575;CHEBI:25384;CHEBI:138366;CHEBI:3098",CHEBI:77746,"1.C inorganic cation,4.A monocarboxylic acid",
87,GO:0015126,CHEBI:3098   ! bile acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:64709;CHEBI:47891;CHEBI:36078;CHEBI:36278;CHEBI:136889;CHEBI:36248;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:24663;CHEBI:35350;CHEBI:36587;CHEBI:33285;CHEBI:36962;CHEBI:36963;CHEBI:36586;CHEBI:24833;CHEBI:35605;CHEBI:33575;CHEBI:25384;CHEBI:138366;CHEBI:3098,NA,4.A monocarboxylic acid,
88,GO:0015432,transports_or_maintains_localization_of CHEBI:3098 !bile acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:64709;CHEBI:47891;CHEBI:36078;CHEBI:36278;CHEBI:136889;CHEBI:36248;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:24663;CHEBI:35350;CHEBI:36587;CHEBI:33285;CHEBI:36962;CHEBI:36963;CHEBI:36586;CHEBI:24833;CHEBI:35605;CHEBI:33575;CHEBI:25384;CHEBI:138366;CHEBI:3098,NA,4.A monocarboxylic acid,
89,GO:0015437,transports_or_maintains_localization_of CHEBI:16412 !lipopolysaccharide,3.C polysaccharide and derivative,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:78616;CHEBI:63299;CHEBI:35740;CHEBI:36357;CHEBI:33839;CHEBI:33694;CHEBI:65212;CHEBI:16412,NA,3.C polysaccharide and derivative,
90,GO:0015634,NA,NA,,NA,NA,
91,GO:0015132,transports_or_maintains_localization_of CHEBI:26333 !prostaglandin,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:61697;CHEBI:23899;CHEBI:26347;CHEBI:26333,NA,7.D Other organic,
92,GO:0015636,transports_or_maintains_localization_of CHEBI:26666 !short-chain fatty acid,4.A monocarboxylic acid,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:25384;CHEBI:18059;CHEBI:35366;CHEBI:26666,NA,4.A monocarboxylic acid,
93,GO:0097253,transports_or_maintains_localization_of CHEBI:10983 !(R)-3-hydroxybutyrate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35757;CHEBI:28868;CHEBI:36059;CHEBI:59835;CHEBI:84196;CHEBI:37054;CHEBI:10983,CHEBI:77746,2.A organic anion,
94,GO:0015352,transports_or_maintains_localization_of CHEBI:15889 !sterol,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:35350;CHEBI:36834;CHEBI:15889,NA,7.D Other organic,
95,GO:0017127,transports_or_maintains_localization_of CHEBI:16113 !cholesterol,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:35350;CHEBI:36834;CHEBI:15889;CHEBI:30879;CHEBI:35681;CHEBI:36836;CHEBI:35348;CHEBI:50401;CHEBI:131619;CHEBI:1722;CHEBI:16113,CHEBI:77746;CHEBI:75771;CHEBI:83038;CHEBI:84735,7.D Other organic,
96,GO:0034041,transports_or_maintains_localization_of CHEBI:15889 !sterol,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:35350;CHEBI:36834;CHEBI:15889,NA,7.D Other organic,
97,GO:0120015,transports_or_maintains_localization_of CHEBI:15889 !sterol,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33582;CHEBI:50860;CHEBI:33822;CHEBI:25367;CHEBI:72695;CHEBI:33595;CHEBI:33832;CHEBI:33635;CHEBI:51958;CHEBI:18059;CHEBI:35341;CHEBI:35350;CHEBI:36834;CHEBI:15889,NA,7.D Other organic,
98,GO:0010175,transports_or_maintains_localization_of CHEBI:16393 !sphingosine,5.G Other oganic amino compounds;7.A polyol,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:26739;CHEBI:35785;CHEBI:33674;CHEBI:33608;CHEBI:36357;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:30879;CHEBI:50047;CHEBI:22478;CHEBI:26191;CHEBI:23824;CHEBI:22501;CHEBI:46963;CHEBI:26738;CHEBI:46964;CHEBI:26743;CHEBI:16393,CHEBI:77746;CHEBI:75771,5.G Other oganic amino compounds;7.A polyol,
99,GO:0035620,transports_or_maintains_localization_of CHEBI:17761 !ceramide,7.C amide;7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:26739;CHEBI:32988;CHEBI:33256;CHEBI:37622;CHEBI:17761,NA,7.C amide;7.D Other organic,
100,GO:0046623,NA,NA,,NA,NA,
101,GO:0120016,transports_or_maintains_localization_of CHEBI:26739 !sphingolipid,7.D Other organic,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:18059;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:26739,NA,7.D Other organic,
102,GO:0005278,exports CHEBI:24636 !proton;imports CHEBI:15355 !acetylcholine,"1.C inorganic cation ,2.B organic cation","CHEBI:36342;CHEBI:36347;CHEBI:33252;CHEBI:24431;CHEBI:23367;CHEBI:33259;CHEBI:33238;CHEBI:33579;CHEBI:33674;CHEBI:33608;CHEBI:24835;CHEBI:33260;CHEBI:33251;CHEBI:24870;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:25414;CHEBI:36914;CHEBI:36915;CHEBI:60242;CHEBI:15378;CHEBI:36343;CHEBI:36344;CHEBI:36340;CHEBI:36339;CHEBI:33253;CHEBI:24636,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:35701;CHEBI:33308;CHEBI:47622;CHEBI:33302;CHEBI:51143;CHEBI:24870;CHEBI:36916;CHEBI:36358;CHEBI:33702;CHEBI:35274;CHEBI:25699;CHEBI:25697;CHEBI:35267;CHEBI:35287;CHEBI:15355",CHEBI:35620;CHEBI:38325;CHEBI:24621;CHEBI:77746;CHEBI:75771;CHEBI:25512,"1.C inorganic cation,2.B organic cation",
103,GO:0005314,CHEBI:29987   ! glutamate,2.A organic anion,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:29987,CHEBI:78675,2.A organic anion,
104,GO:0015327,exports CHEBI:29987 !glutamate(2-);imports CHEBI:17376 !cystine,"2.A organic anion,5.A amino acid;5.B amino acid derivative","CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:24870;CHEBI:25699;CHEBI:22563;CHEBI:25696;CHEBI:36357;CHEBI:36358;CHEBI:33273;CHEBI:33304;CHEBI:25806;CHEBI:37577;CHEBI:25741;CHEBI:35406;CHEBI:29067;CHEBI:35693;CHEBI:38716;CHEBI:28965;CHEBI:29987,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33304;CHEBI:36962;CHEBI:26835;CHEBI:33261;CHEBI:48343;CHEBI:35489;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:33576;CHEBI:26834;CHEBI:83821;CHEBI:23509;CHEBI:17376",CHEBI:77746;CHEBI:75771,"2.A organic anion,5.B amino acid derivative",
105,GO:0005307,transports_or_maintains_localization_of CHEBI:29101 !sodium(1+);transports_or_maintains_localization_of CHEBI:15354 !choline,"1.C inorganic cation ,2.B organic cation","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33302;CHEBI:51143;CHEBI:24870;CHEBI:36916;CHEBI:36357;CHEBI:36358;CHEBI:33702;CHEBI:35274;CHEBI:33582;CHEBI:50860;CHEBI:25699;CHEBI:25697;CHEBI:35267;CHEBI:23217;CHEBI:15354",CHEBI:25512;CHEBI:33284;CHEBI:77746;CHEBI:76924;CHEBI:83056;CHEBI:75772;CHEBI:76971;CHEBI:75771,"1.C inorganic cation,2.B organic cation",
106,GO:0005332,transports_or_maintains_localization_of CHEBI:29101 !sodium(1+);transports_or_maintains_localization_of CHEBI:16865 !gamma-aminobutyric acid,"1.C inorganic cation ,4.A monocarboxylic acid;5.A amino acid","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:36357;CHEBI:25367;CHEBI:72695;CHEBI:36587;CHEBI:33304;CHEBI:36962;CHEBI:25806;CHEBI:36963;CHEBI:36586;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:24833;CHEBI:35605;CHEBI:64709;CHEBI:33575;CHEBI:33709;CHEBI:83820;CHEBI:33707;CHEBI:25384;CHEBI:16865",CHEBI:62488;CHEBI:77746;CHEBI:75772;CHEBI:25512,"1.C inorganic cation,4.A monocarboxylic acid;5.A amino acid",
107,GO:0005335,transports_or_maintains_localization_of CHEBI:29101 !sodium(1+);transports_or_maintains_localization_of CHEBI:28790 !serotonin;transports_or_maintains_localization_of CHEBI:17996 !chloride,"1.C inorganic cation ,5.G Other oganic amino compounds,1.D inorganic anion ","CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:36916;CHEBI:23906;CHEBI:24835;CHEBI:36914;CHEBI:36915;CHEBI:25213;CHEBI:33504;CHEBI:33579;CHEBI:33674;CHEBI:33296;CHEBI:26712;CHEBI:37246;CHEBI:60242;CHEBI:25414;CHEBI:29101,CHEBI:24431;CHEBI:23367;CHEBI:33579;CHEBI:33675;CHEBI:33582;CHEBI:50860;CHEBI:33285;CHEBI:33302;CHEBI:51143;CHEBI:35352;CHEBI:50047;CHEBI:64365;CHEBI:63534;CHEBI:25375;CHEBI:50994;CHEBI:36357;CHEBI:25367;CHEBI:33595;CHEBI:33655;CHEBI:72695;CHEBI:33832;CHEBI:33659;CHEBI:33304;CHEBI:25806;CHEBI:33674;CHEBI:33608;CHEBI:37577;CHEBI:24651;CHEBI:33822;CHEBI:33853;CHEBI:33636;CHEBI:5686;CHEBI:33672;CHEBI:24532;CHEBI:33635;CHEBI:33671;CHEBI:38166;CHEBI:27171;CHEBI:38101;CHEBI:33833;CHEBI:38180;CHEBI:22728;CHEBI:24828;CHEBI:84729;CHEBI:27162;CHEBI:28790,CHEBI:24431;CHEBI:23367;CHEBI:24870;CHEBI:33259;CHEBI:33238;CHEBI:24867;CHEBI:22563;CHEBI:23905;CHEBI:36830;CHEBI:33429;CHEBI:24835;CHEBI:36914;CHEBI:24834;CHEBI:79389;CHEBI:16042;CHEBI:33433;CHEBI:33434;CHEBI:33579;CHEBI:33675;CHEBI:24471;CHEBI:23117;CHEBI:33431;CHEBI:33432;CHEBI:17996",CHEBI:77746;CHEBI:76971,"1.C inorganic cation,5.G Other oganic amino compounds,1.D inorganic anion",
